setup,trades,wins,losses,winrate,gross_profit,gross_loss,profit_factor,avg_win,avg_loss,max_win,min_loss,expectancy
FVG_with_Confirmation,8.0,6.0,2.0,75.0,913.8909912109375,106.63775634765625,8.570050819819443,152.31517028808594,-53.31888,154.35841,-55.93775,100.90665817260742
OrderBlock,33.0,22.0,11.0,66.66666666666667,2963.772216796875,628.0361938476562,4.719110531893648,134.7169189453125,-57.0942,330.16794,-121.224236,70.7798792521159
EqualHighLow,30.0,17.0,13.0,56.666666666666664,2434.9013671875,652.7775268554688,3.730063102687986,143.2294921875,-50.213657,858.0496,-52.680576,59.40412737528483
LiquidityGrab_with_Confirmation,21.0,11.0,10.0,52.38095238095238,1412.0860595703125,1646.4296875,0.8576655719288422,128.3714599609375,-164.64297,145.29425,-746.4206,-11.159223284040166
BreakerBlock,1.0,0.0,1.0,0.0,0.0,27.213817596435547,0.0,0.0,-27.213818,-27.213818,-27.213818,-27.213817596435547
