time,price,type,order,profit
2025-02-06 09:50:00,1.037845,stop_loss,buy,-49.75
2025-02-07 18:55:00,1.0322488,take_profit,sell,138.6035
2025-02-10 00:00:00,1.02975,stop_loss,buy,-50.194267499999995
2025-02-10 04:55:00,1.02985492,take_profit,sell,124.85824040625002
2025-02-12 18:55:00,1.03978,take_profit,buy,141.5892446206875
2025-02-13 22:20:00,1.04587,stop_loss,sell,-51.27553358763469
2025-02-14 16:40:00,1.05064,take_profit,buy,102.03831183939303
2025-02-17 23:55:00,1.04044,end_of_test,buy,-133.97630344512135
2025-02-19 19:00:00,1.04037588,take_profit,sell,125.0
2025-02-20 10:05:00,1.043765,stop_loss,sell,-50.625
2025-02-24 04:50:00,1.05277,take_profit,buy,141.04125
2025-02-27 15:45:00,1.04468272,take_profit,sell,127.692703125
2025-02-28 19:00:00,1.04044,end_of_test,sell,46.85428355766005
